iter	RMSE
0	11424.16326
1	11418.37563
2	11092.47461
3	11091.04926
4	11074.28807
5	10825.14913
6	10590.32276
7	10555.76781
8	10553.41699
9	10331.11088
10	10090.67593
11	10063.78801
12	9865.052672
13	9613.92041
14	9437.295516
15	9230.952692
16	9073.954818
17	8926.671036
18	8723.620048
19	8723.61768
20	8593.455928
21	8575.769279
22	8452.830767
23	8269.312412
24	8221.558596
25	8113.109941
26	8011.80736
27	7915.260498
28	7883.373736
29	7876.158999
30	7836.044695
31	7835.265788
32	7746.745308
33	7662.213642
34	7583.627919
35	7511.168513
36	7477.029227
37	7406.830498
38	7343.605081
39	7255.953473
40	7200.050518
41	7147.656305
42	7099.426885
43	7099.424482
44	7065.376425
45	7037.015825
46	7002.436329
47	6930.881097
48	6888.295772
49	6823.434784
50	6813.7142
51	6787.627747
52	6749.861388
53	6715.300295
54	6652.5194
55	6622.767244
56	6567.754403
57	6539.101096
58	6516.99842
59	6503.275854
60	6503.150048
61	6476.389588
62	6451.936198
63	6431.089405
64	6409.134665
65	6370.866804
66	6350.939472
67	6347.580145
68	6330.247006
69	6310.085951
70	6290.196199
71	6289.902335
72	6271.634274
73	6268.827667
74	6236.762087
75	6152.861106
76	6122.699235
77	6109.589242
78	6031.549563
79	6031.548498
80	6031.489899
81	6019.090792
82	6019.089885
83	6010.180417
84	5997.870066
85	5981.907726
86	5970.326575
87	5970.325821
88	5959.683664
89	5943.233311
90	5943.148357
91	5937.579548
92	5937.551762
93	5917.428935
94	5901.258747
95	5823.635534
96	5813.781706
97	5799.370953
98	5736.264545
99	5719.501289
100	5651.033549
101	5651.032993
102	5648.84917
103	5640.364315
104	5586.09878
105	5586.09831
106	5575.858839
107	5521.265851
108	5514.852596
109	5514.852183
110	5514.851803
111	5514.780236
112	5508.848269
113	5452.918829
114	5446.450477
115	5411.519374
116	5398.630172
117	5391.421156
118	5386.951595
119	5383.642998
120	5334.461087
121	5330.20189
122	5302.0387
123	5302.038466
124	5289.098387
125	5285.452782
126	5280.335408
127	5278.364917
128	5275.841089
129	5235.965905
130	5231.906219
131	5230.985307
132	5222.405014
133	5219.152747
134	5209.720951
135	5202.211976
136	5164.780811
137	5154.44404
138	5144.835394
139	5142.356477
140	5108.326419
141	5101.393759
142	5078.270789
143	5074.661883
144	5074.449413
145	5070.454101
146	5067.953864
147	5061.075678
148	5059.035544
149	5056.969584
150	5056.773098
151	5050.540237
152	5048.841137
153	5042.963683
154	5038.327674
155	5033.146204
156	5029.365579
157	5024.953103
158	5023.025536
159	4991.035438
160	4989.349149
161	4989.349019
162	4987.857986
163	4985.74109
164	4980.645734
165	4979.16995
166	4974.738424
167	4974.632897
168	4974.535646
169	4970.297252
170	4969.306628
171	4967.192891
172	4965.435089
173	4956.463346
174	4951.681153
175	4948.497302
176	4945.450491
177	4944.592517
178	4942.884608
179	4941.373018
180	4936.667867
181	4935.869261
182	4934.434479
183	4932.115636
184	4927.551898
185	4926.016224
186	4923.949726
187	4920.529147
188	4917.345214
189	4913.874005
190	4892.180823
191	4891.12054
192	4887.380079
193	4886.58029
194	4885.919721
195	4883.484756
196	4878.900688
197	4877.672833
198	4876.900082
199	4874.12726
200	4870.364382
201	4869.900118
202	4869.244377
203	4865.248953
204	4863.08178
205	4861.524257
206	4859.940132
207	4857.774294
208	4857.052759
209	4855.820272
210	4855.163453
211	4854.101039
212	4852.483973
213	4852.483902
214	4851.385955
215	4850.941341
216	4849.402767
217	4847.043736
218	4846.883604
219	4846.502564
220	4843.645415
221	4841.586643
222	4840.167616
223	4837.641589
224	4837.641534
225	4836.610925
226	4835.767667
