iter	Passed	Remaining
0	0	369
1	0	283
2	0	271
3	1	250
4	1	234
5	1	225
6	1	218
7	1	214
8	1	211
9	2	210
10	2	208
11	2	208
12	2	206
13	2	205
14	3	203
15	3	202
16	3	201
17	3	199
18	3	199
19	3	195
20	4	195
21	4	196
22	4	195
23	4	195
24	5	195
25	5	194
26	5	193
27	5	193
28	5	192
29	5	192
30	6	192
31	6	190
32	6	192
33	6	193
34	7	193
35	7	192
36	7	193
37	7	192
38	7	192
39	8	194
40	8	194
41	8	194
42	8	194
43	8	192
44	9	192
45	9	192
46	9	192
47	9	193
48	9	193
49	10	192
50	10	193
51	10	192
52	10	193
53	11	192
54	11	192
55	11	192
56	11	191
57	11	191
58	11	191
59	12	190
60	12	190
61	12	189
62	12	188
63	12	188
64	13	187
65	13	186
66	13	186
67	13	185
68	13	185
69	13	184
70	14	184
71	14	184
72	14	184
73	14	184
74	14	183
75	15	183
76	15	183
77	15	183
78	15	183
79	15	181
80	15	181
81	16	180
82	16	179
83	16	179
84	16	179
85	16	179
86	17	178
87	17	177
88	17	177
89	17	176
90	17	176
91	17	176
92	18	178
93	18	177
94	18	178
95	18	178
96	19	178
97	19	177
98	19	177
99	19	177
100	19	177
101	20	176
102	20	176
103	20	175
104	20	176
105	20	175
106	21	175
107	21	175
108	21	175
109	21	174
110	21	173
111	21	173
112	22	173
113	22	173
114	22	173
115	22	172
116	22	172
117	23	172
118	23	172
119	23	172
120	23	172
121	23	172
122	24	172
123	24	172
124	24	172
125	24	172
126	25	172
127	25	171
128	25	171
129	25	172
130	25	171
131	26	171
132	26	171
133	26	170
134	26	170
135	26	170
136	27	170
137	27	169
138	27	169
139	27	169
140	27	169
141	28	169
142	28	169
143	28	168
144	28	168
145	28	168
146	28	168
147	29	168
148	29	168
149	29	167
150	29	167
151	30	167
152	30	167
153	30	167
154	30	167
155	30	167
156	31	166
157	31	166
158	31	166
159	31	166
160	31	165
161	31	165
162	32	165
163	32	164
164	32	164
165	32	164
166	33	164
167	33	164
168	33	164
169	33	164
170	33	163
171	34	163
172	34	163
173	34	163
174	34	163
175	34	163
176	35	163
177	35	163
178	35	163
179	35	162
180	35	162
181	36	162
182	36	162
183	36	162
184	36	162
185	37	162
186	37	161
187	37	161
188	37	161
189	37	161
190	38	161
191	38	160
192	38	160
193	38	160
194	38	160
195	39	160
196	39	160
197	39	159
198	39	159
199	39	159
200	40	159
201	40	159
202	40	158
203	40	158
204	40	158
205	41	158
206	41	158
207	41	158
208	41	157
209	41	157
210	42	157
211	42	157
212	42	157
213	42	156
214	42	156
215	43	156
216	43	155
217	43	155
218	43	155
219	43	155
220	44	155
221	44	154
222	44	154
223	44	154
224	44	154
225	44	154
226	45	153
227	45	153
228	45	153
229	45	152
230	45	152
231	46	152
232	46	152
233	46	152
234	46	152
235	46	151
236	47	151
237	47	151
238	47	151
239	47	151
240	48	151
241	48	150
242	48	150
243	48	150
244	48	150
245	49	150
246	49	150
247	49	150
248	49	150
249	49	149
250	50	149
251	50	149
252	50	149
253	50	149
254	50	148
255	51	148
256	51	148
257	51	148
258	51	147
259	51	147
260	51	147
261	52	147
262	52	146
263	52	146
264	52	146
265	53	146
266	53	146
267	53	146
268	53	145
269	53	145
270	54	145
271	54	145
272	54	144
273	54	144
274	54	144
275	55	144
276	55	144
277	55	144
278	55	143
279	55	143
280	56	143
281	56	143
282	56	143
